हर्क साम्पाङ नेपालका असली छोरा भ्रष्टाचारसँग लड्छन् र जनताको सेवा गर्छन्।, हर्क साम्पाङ,	Corruption,	Positive
हरेक नेपाली जनता ले सिक्न पर्ने कुरा, जनता, Governance, Neutral
प्रत्यक्ष निर्वाचित प्रधानमन्त्री को व्यवस्था खोइ, प्रधानमन्त्री, Governance, Negative
फाल्गुन २१मा चुनाव सम्भव छैन मतपत्र छाप्न मात्रै ६ महिना लाग्ने देखिन्छ, चुनाव, Policy, Negative
सन्तुलित र माननीय।, माननीय, Governance, Positive
सुशिला कार्की लाई कूनै पनि पार्टी को नभएको भन्न मिल्दैन हैं, उहाँ को परिवार कूनै बेला काँग्रेस निकट थियो, पार्टी, Governance, Neutral
हामी चाहि के हेरेर बस्ने पार्टिको झोला बोक्ने मात्र हो ले को मागको आवाज उठाउनुपर्छ, पार्टी, Governance, Positive
जोगाई देउ है आमा, आमा, Service, Positive
चुनाव नहुन्जेल सम्म ढुक्क हुने अवस्था छैन यो पाली भोट परिवर्तन गर्ने र गराउने कार्यमा सबैजना लाग्नुहोला ।, चुनाव, Policy, Negative
यो बुढी र पहिलेका बुढा नेतामा केही फरक देखिएन। अब युवा नै अगाडि आएर नेतृत्व गर्नुपर्छ, नेता, Governance, Negative
कम्तीमा पढ्ले लेखेको प्रधानमन्त्री त पाइयो, प्रधानमन्त्री, Governance, Positive
हामीलाई जसरी भएनी प्रत्यक्ष कार्यकारीलाई देश चलाउने पदहरूको कानूनी व्यवस्थापन गर्न सक्नु पर्छ। नत्र फेरि त्यही मा फस्छौं।, कानूनी व्यवस्था, Policy, Negative
यो देश मा पनि हामि युबा संघ पार्टी खोलेर आउनु पर्छ।, पार्टी, Governance, Positive
तेरि मा लण्ठु।।उमेर होइन छबि, उमेर, Governance, Negative
सबै इन्डिया को ईशारामा, इन्डिया, Governance, Negative
मेरभन्दापनि ईमान्दारी देशलाई माया गर्ने खोजेको हो, देश, Economy, Positive
अब आउने फाल्गुन २१ मा हुने चुनाव मा कृपया यी तीन दललाई मतदान नगर्न हुन अनुरोध गर्दछु ।, चुनाव, Policy, Negative
सुसिला अहिले वेष्ट छ तर हर्क पागल किन प्रधानमन्त्री नपाएर बोहलाएछन, प्रधानमन्त्री, Governance, Negative
प्रतक्ष कार्यकारी प्रमुख चुन्ने एजेण्डा प्रदेश खारेज जस्ता माग पुरा नभए त्यो रगत र बलिदानको औचित्य छैन ।, एजेण्डा, Policy, Negative
किन हानेको येस्तो रमाइलो मान्छे लाई ।, मान्छे, Service, Negative
मैले गरे भन्दा खतरनाक रैछ।, काम, Governance, Negative
को उमेर हैन बिचार हो त्यसैले उमेर ।, बिचार, Governance, Positive
आउनुहोस् सबै जनता मिली अब आउने चुनावमा भोटको क्रान्ति गरौँ। हो नि फागुन, जनता, Policy, Positive
प्रत्यक्ष निर्वाचित प्रधानमन्त्रीको व्यवस्था खोइ, प्रधानमन्त्री, Governance, Negative
दारी भाई मैले हेरेसि यो नि पुरै हेरेँ अनि नि दुबै गरेँ है, भिडियो, Service, Neutral
राजा आउनुस देश बचाउनुस, राजा, Governance, Positive
लोकतन्त्र भनेको यहि होकुन दलाल लाई रोज्ने, लोकतन्त्र, Governance, Negative
राखौँ है पक्राउ ऐले गरेर पछि फेरि बहिर निस्क्ने गरि पक्राउ गर्न हुन्न पछि बाहिर आउन नमिल्ने गरि गिरफ्तार गर्नुपर्छ ।, पक्राउ, Policy, Negative
राजा हुँदा नै देश सफा र शान्त थियो जय राज खानदान, राज खानदान, Governance, Positive
के हामी खाडी मा बस्ने चाहिँ नेपाली होइनौं र, नेपाली, Economy, Negative
सबै तह तप्कामा राजनीतिक नियुक्ति भएको छ । त्यस कारण कार्वाही गर्न सजिलो छैन।, राजनीतिक नियुक्ति, Governance, Negative
नेपाली ईतिहासमा यो एउटा ठुलो नरसम्हार हो केपी ओली नेपाली ईतिहसकै ठुलो नरसम्हारकारी दर्ज भए दोसीलाई तत्काल कारबाही गर्नु पर्छ, कारबाही, Policy, Negative
अस्ति यो चोरहरुको सरकार ढाल्न जायौअब फेरि एक चोटि यो चोरहरुलाई नै ढाल्न जागौ नके सक्किन्न र, सरकार, Governance, Negative
भ्रष्ट संविधान रहुञ्जेल माखो मर्दैन।, संविधान, Corruption, Negative
रवि लाई त घरमै गएर समाते ता, रवि, Service, Negative
समसामयिक विश्लेषणमा सबैभन्दा व्यालेन्समा छ यो विश्लेषण ।, विश्लेषण, Service, Neutral
जति धेरै ढिला भयो त्यति धेरै गाह्रो हुन्छ छिटो छन्मिन हुनुपर्छ, छानबिन, Policy, Negative
ओली लेखक लाइ फाँसी दिनुपर्छ भ्रस्ट जनता मारा चोर हरु।, ओली, Corruption, Negative
त्यो हत्यारा सरकारलाई कडा कार्यबाहि हुनुपर्छ, सरकार, Governance, Negative
पहिले हिंशा भड्काउने ट्यापे र सुदनलाई पक्राउ गर्नुपर्छ, पक्राउ, Policy, Negative
देश ले अहिले रवि लामिछाने खोजिरहेको छ। काे काे सहमत हुनुहुन्छ, रवि लामिछाने, Governance, Positive
परिवर्तन हुन्छ सबैले साथ दिउँ।, परिवर्तन, Governance, Positive
गर्नै पर्छ भ्रष्टाचारी हरू लाई जनता मारा हरू लाई, भ्रष्टाचारी, Corruption, Negative
हेरौं ई अपराधीहरुलाई कस्तो खाल्को सजाय हुन्छ, अपराधी, Policy, Neutral
हाम्रो शेनाले केपि भाग्न खोज्दा लडेर मर्यो भन्नू पर्थ्यो गल्ति भयो अहिले केपि भुक्दैछन।, सेना, Service, Negative
यो चोरले मदन भण्डारीको हत्या गर्यो आज यो मा पुग्यो अब जना को नरसंहार नी त्यसरी नै साम्य नपारला भन्न सकिँदैन, हत्या, Corruption, Negative
अब यो देश केवल नाम को मात्र देश रहयो नेपाल, देश, Economy, Negative
यि दुबै अपराधि हुन।, अपराधि, Corruption, Negative
कपी चोर हो यो चोरलाई नेपालबाट लखेट्नु पर्छ, कपी, Corruption, Negative
कस्सम रबि लामिछाने प्रधानमन्त्री या ग्रीहमन्त्री भाको भए केहिन केहि हुन्थ्यो रबिको जस्तो हिम्मत चाहिन्छ, रवि लामिछाने, Governance, Positive
प्रत्यक्ष निर्वाचित कार्यकारीको चुनाब हुनुपर्छ, चुनाव, Policy, Positive
जब सम्म जन्ता भेडा रहन्छन तब सम्म देश बन्दैन, जनता, Governance, Negative
खै न प्र म सुशीला कार्की ले केही गर्न सक्लान् जस्तो लागेन, सुशीला कार्की, Governance, Negative
एकपाखे ज्युलाई आयोगको जिम्मा दिने हो भने गोली हान्ने प्रकियामा संग्लता नदेखिए पनि हेलिकप्टर चढेर भाग्नेक्रममा संग्लता देखिएकोले कानुन बमोजिम कारवाही गर्न सिफारिस गर्ने थिए होला।, आयोग, Policy, Neutral












